,subsr,asset_nm_new,ACTR_DISP
0,65941000,그것이알고싶다,김상중
1,66873000,그것이알고싶다,김상중
2,66873000,그것이알고싶다,김상중
3,61689000,그것이알고싶다,김상중
4,61619000,꼬리에꼬리를무는그날이야기,"장도연,장현성,장성규"
5,64495000,꼬리에꼬리를무는그날이야기,"장도연,장현성,장성규"
6,64495000,꼬리에꼬리를무는그날이야기,"장도연,장현성,장성규"
7,66885000,인간극장,명선 스님
8,62701000,꼬리에꼬리를무는그날이야기,"장도연,장현성,장성규"
9,65954000,오은영리포트결혼지옥,"오은영,소유진,하하,김응수,박지민"
10,65941000,인간극장,"이용철,스즈키 준"
11,67055000,실화탐사대,"신동엽,서인,강다솜,박지훈"
12,64376000,실화탐사대,"신동엽,서인,강다솜,박지훈"
13,64376000,실화탐사대,"신동엽,서인,강다솜,박지훈"
14,66885000,인간극장,명선 스님
15,66885000,인간극장,명선 스님
16,65696000,과학수사대스모킹건,"안현모,이유리,유성호,김복준,표창원"
17,65696000,과학수사대스모킹건,"안현모,이유리,유성호,김복준,표창원"
18,65696000,과학수사대스모킹건,"안현모,이유리,유성호,김복준,표창원"
19,65696000,과학수사대스모킹건,"안현모,이유리,유성호,김복준,표창원"
20,65696000,과학수사대스모킹건,"안현모,이유리,유성호,김복준,표창원"
21,64659000,과학수사대스모킹건,"안현모,이유리,유성호,김복준,표창원"
22,61683000,인간극장,"김환,박두레"
23,61683000,인간극장,-
24,64154000,2022역사저널그날,"최원정,정병준,박태균,이시원,다니엘 린데만,박상영,유동훈"
25,60984000,그것이알고싶다,김상중
26,65941000,인간극장,-
27,65941000,인간극장,강윤아
28,61683000,인간극장,-
29,62701000,과학수사대스모킹건,"안현모,이유리,유성호,김복준,표창원"
30,62701000,과학수사대스모킹건,"안현모,이유리,유성호,김복준,표창원"
31,64495000,꼬리에꼬리를무는그날이야기,"장도연,장현성,장성규"
32,64495000,꼬리에꼬리를무는그날이야기,"장도연,장현성,장성규"
33,66873000,인간극장,"전윤호,사만다"
34,64385000,꼬리에꼬리를무는그날이야기,"장도연,장현성,장성규"
35,64495000,꼬리에꼬리를무는그날이야기,"장도연,장현성,장성규"
36,64495000,꼬리에꼬리를무는그날이야기,"장도연,장현성,장성규"
37,66873000,그것이알고싶다,김상중
38,64376000,그것이알고싶다,김상중
39,66873000,인간극장,"전윤호,사만다"
40,66163000,오은영리포트결혼지옥,"오은영,소유진,하하,김응수,박지민"
41,66873000,TV쇼진품명품,강승화
42,66353000,영상앨범산,"이상은,윤성문"
43,66885000,인간극장,"한영희,허만우"
44,66873000,그것이알고싶다,김상중
45,66873000,그것이알고싶다,김상중
46,65954000,오은영리포트결혼지옥,"오은영,소유진,하하,김응수,박지민"
47,61683000,오은영리포트결혼지옥,"오은영,소유진,하하,김응수,박지민"
48,67055000,오은영리포트결혼지옥,"오은영,소유진,하하,김응수,박지민"
49,61683000,오은영리포트결혼지옥,"오은영,소유진,하하,김응수,박지민"
50,64385000,과학수사대스모킹건,"안현모,이혜원,유성호"
51,66163000,오은영리포트결혼지옥,"오은영,소유진,하하,김응수,박지민"
52,62421000,맨인블랙박스,조정식
53,62421000,과학수사대스모킹건,"안현모,이혜원,유성호"
54,65696000,과학수사대스모킹건,"안현모,이유리,유성호,김복준,표창원"
55,65443000,꼬리에꼬리를무는그날이야기,"장도연,장현성,장성규"
56,65443000,꼬리에꼬리를무는그날이야기,"장도연,장현성,장성규"
57,65443000,꼬리에꼬리를무는그날이야기,"장도연,장현성,장성규"
58,65443000,꼬리에꼬리를무는그날이야기,"장도연,장현성,장성규"
59,64495000,꼬리에꼬리를무는그날이야기,"장도연,장현성,장성규"
60,59900000,2022역사저널그날,"최원정,이시원,허준,최태성"
61,65941000,인간극장,"이용철,스즈키 준"
62,65941000,인간극장,"이용철,스즈키 준"
63,61683000,오은영리포트결혼지옥,"오은영,소유진,하하,김응수,박지민"
