,subsr,asset_nm,ct_cl,genre_of_ct_cl,use_tms,SMRY,ACTR_DISP,disp_rtm,strt_dt,month,disp_rtm_s,asset_nm_new,date,day,hour,runningtime,weather,year
0,65941000,(HD)그것이알고싶다 1361회(23/07/22),TV 시사/교양,기타,4800,"살인자의 자백 그리고 아크말의 고백. 방대한 수사기록과 당시 아크말의 진술을 토대로 범행 과정을 직접 시뮬레이션 해본다. 또 유일한 단서인 타코미터를 최초 개발자와 함께 분석하고, 지리 정보를 데이터화한 GIS 기술을 이용해 범인이 운전한 진짜 경로를 추적한다.",김상중,1:20,20230812163507,8,4800,그것이알고싶다,2023-08-12,토,16,90분이하,비,
1,66873000,(HD)그것이알고싶다 1361회(23/07/22),TV 시사/교양,기타,4800,"살인자의 자백 그리고 아크말의 고백. 방대한 수사기록과 당시 아크말의 진술을 토대로 범행 과정을 직접 시뮬레이션 해본다. 또 유일한 단서인 타코미터를 최초 개발자와 함께 분석하고, 지리 정보를 데이터화한 GIS 기술을 이용해 범인이 운전한 진짜 경로를 추적한다.",김상중,1:20,20230816205227,8,4800,그것이알고싶다,2023-08-16,수,20,90분이하,비,
2,66873000,(HD)그것이알고싶다 1361회(23/07/22),TV 시사/교양,기타,718,"살인자의 자백 그리고 아크말의 고백. 방대한 수사기록과 당시 아크말의 진술을 토대로 범행 과정을 직접 시뮬레이션 해본다. 또 유일한 단서인 타코미터를 최초 개발자와 함께 분석하고, 지리 정보를 데이터화한 GIS 기술을 이용해 범인이 운전한 진짜 경로를 추적한다.",김상중,1:20,20230829194727,8,4800,그것이알고싶다,2023-08-29,화,19,90분이하,비,
3,61689000,(HD)그것이알고싶다 1361회(23/07/22),TV 시사/교양,기타,4800,"살인자의 자백 그리고 아크말의 고백. 방대한 수사기록과 당시 아크말의 진술을 토대로 범행 과정을 직접 시뮬레이션 해본다. 또 유일한 단서인 타코미터를 최초 개발자와 함께 분석하고, 지리 정보를 데이터화한 GIS 기술을 이용해 범인이 운전한 진짜 경로를 추적한다.",김상중,1:20,20230813130609,8,4800,그것이알고싶다,2023-08-13,일,13,90분이하,흐림,
4,61619000,꼬리에꼬리를무는그날이야기 37회(22/07/21),TV 시사/교양,기타,4183,"살인범의 미토콘드리아 - 2006 냉동고 살인사건. 2006년 7월 23일, 서울 방배경찰서로 걸려 온 한 통의 전화. 우리 집에 시신이 있어요! 신고 전화를 받고 출동한 강력팀이 도착한 곳은 강남의 한 고급빌라. 초인종을 누르자 프랑스인 집주인 쿠르조 씨가 문을 열었다.","장도연,장현성,장성규",1:13,20230804092737,8,4380,꼬리에꼬리를무는그날이야기,2023-08-04,금,9,90분이하,맑음,
5,64495000,꼬리에꼬리를무는그날이야기 61회(23/01/12),TV 시사/교양,기타,2521,협박범의 편지 - 4천만 대국민 인질극.,"장도연,장현성,장성규",1:13,20230806100106,8,4380,꼬리에꼬리를무는그날이야기,2023-08-06,일,10,90분이하,비,
6,64495000,꼬리에꼬리를무는그날이야기 61회(23/01/12),TV 시사/교양,기타,4380,협박범의 편지 - 4천만 대국민 인질극.,"장도연,장현성,장성규",1:13,20230806072705,8,4380,꼬리에꼬리를무는그날이야기,2023-08-06,일,7,90분이하,비,
7,66885000,(HD)인간극장 3338회(23/07/13),TV 시사/교양,기타,1920,[스리랑카 명선 스님 인연 4부] 스리랑카 절을 찾은 명선 스님. 스리랑카에서는 스님에게 공양을 올리는 의식이 큰일이자 복이라고 한다. 심곡암으로 돌아온 명선 스님은 총무 스님의 역할을 해내야 하는데 아직 익숙하지 않은 탓에 어렵기만 하다.,명선 스님,0:32,20230813163643,8,1920,인간극장,2023-08-13,일,16,60분이하,흐림,
8,62701000,꼬리에꼬리를무는그날이야기 89회(23/07/27),TV 시사/교양,기타,4680,"어느 날 내가 사라졌다 - 그 여자의 살인 시나리오. 2010년 6월, 부산에 있는 병원 응급실로 한 여성이 실려 온다. 여성은 호흡과 심장박동이 없는 상태. 그녀를 데리고 온 사람은 지인이라는 동생이었다. 동생은 살려달라고 의료진에게 매달렸지만 손쓸 수 없는 상태였다.","장도연,장현성,장성규",1:18,20230824123411,8,4680,꼬리에꼬리를무는그날이야기,2023-08-24,목,12,90분이하,비,
9,65954000,오은영 리포트 결혼 지옥 16회(22/10/24),TV 시사/교양,기타,4980,"예민보스 아내 vs 답답보스 남편. 스노보드 동호회에서 처음 만나 남편의 열렬한 구애로 결혼에 골인했다는 결혼 5년 차 부부. 행복하기만 할 줄 알았던 결혼 생활도 잠시, 부부는 밥을 먹고, 청소를 하고, 설거지를 하는 등 일상의 매 순간이 갈등이라고 하는데...","오은영,소유진,하하,김응수,박지민",1:23,20230811010400,8,4980,오은영리포트결혼지옥,2023-08-11,금,1,90분이하,비,
