,subsr,SMRY
0,65941000,"살인자의 자백 그리고 아크말의 고백. 방대한 수사기록과 당시 아크말의 진술을 토대로 범행 과정을 직접 시뮬레이션 해본다. 또 유일한 단서인 타코미터를 최초 개발자와 함께 분석하고, 지리 정보를 데이터화한 GIS 기술을 이용해 범인이 운전한 진짜 경로를 추적한다."
1,66873000,"살인자의 자백 그리고 아크말의 고백. 방대한 수사기록과 당시 아크말의 진술을 토대로 범행 과정을 직접 시뮬레이션 해본다. 또 유일한 단서인 타코미터를 최초 개발자와 함께 분석하고, 지리 정보를 데이터화한 GIS 기술을 이용해 범인이 운전한 진짜 경로를 추적한다."
2,66873000,"살인자의 자백 그리고 아크말의 고백. 방대한 수사기록과 당시 아크말의 진술을 토대로 범행 과정을 직접 시뮬레이션 해본다. 또 유일한 단서인 타코미터를 최초 개발자와 함께 분석하고, 지리 정보를 데이터화한 GIS 기술을 이용해 범인이 운전한 진짜 경로를 추적한다."
3,61689000,"살인자의 자백 그리고 아크말의 고백. 방대한 수사기록과 당시 아크말의 진술을 토대로 범행 과정을 직접 시뮬레이션 해본다. 또 유일한 단서인 타코미터를 최초 개발자와 함께 분석하고, 지리 정보를 데이터화한 GIS 기술을 이용해 범인이 운전한 진짜 경로를 추적한다."
4,61619000,"살인범의 미토콘드리아 - 2006 냉동고 살인사건. 2006년 7월 23일, 서울 방배경찰서로 걸려 온 한 통의 전화. 우리 집에 시신이 있어요! 신고 전화를 받고 출동한 강력팀이 도착한 곳은 강남의 한 고급빌라. 초인종을 누르자 프랑스인 집주인 쿠르조 씨가 문을 열었다."
5,64495000,협박범의 편지 - 4천만 대국민 인질극.
6,64495000,협박범의 편지 - 4천만 대국민 인질극.
7,66885000,[스리랑카 명선 스님 인연 4부] 스리랑카 절을 찾은 명선 스님. 스리랑카에서는 스님에게 공양을 올리는 의식이 큰일이자 복이라고 한다. 심곡암으로 돌아온 명선 스님은 총무 스님의 역할을 해내야 하는데 아직 익숙하지 않은 탓에 어렵기만 하다.
8,62701000,"어느 날 내가 사라졌다 - 그 여자의 살인 시나리오. 2010년 6월, 부산에 있는 병원 응급실로 한 여성이 실려 온다. 여성은 호흡과 심장박동이 없는 상태. 그녀를 데리고 온 사람은 지인이라는 동생이었다. 동생은 살려달라고 의료진에게 매달렸지만 손쓸 수 없는 상태였다."
9,65954000,"예민보스 아내 vs 답답보스 남편. 스노보드 동호회에서 처음 만나 남편의 열렬한 구애로 결혼에 골인했다는 결혼 5년 차 부부. 행복하기만 할 줄 알았던 결혼 생활도 잠시, 부부는 밥을 먹고, 청소를 하고, 설거지를 하는 등 일상의 매 순간이 갈등이라고 하는데..."
10,65941000,"[한일부부, 우리는 쓰시마에 산다 1부] 한국에서는 보기 힘든 대나무 숲에서 죽순을 캐는 부부. 낫을 들고 다니며 힘들게 죽순을 캐지만 자연과 가까운 덕인지, 미소만 가득하다. 한국과 다른 문화를 가진 일본의 쓰시마는, 한일부부에게 더욱더 매력적이게 느껴졌다."
11,67055000,"첫 번째 실화 예고되지 않은 묻지마 흉기 난동. 8월 3일 분당 서현역 인근에서 교통사고 신고가 접수되었다. 2분 후 칼부림이 났다는 신고가 쇄도하기 시작했고, 그것이 비극을 알리는 첫 신호였다. 범인은 인도로 돌진해 5명의 보행자를 들이받고, 흉기로 시민들을 공격했다."
12,64376000,"첫 번째 실화 예고되지 않은 묻지마 흉기 난동. 8월 3일 분당 서현역 인근에서 교통사고 신고가 접수되었다. 2분 후 칼부림이 났다는 신고가 쇄도하기 시작했고, 그것이 비극을 알리는 첫 신호였다. 범인은 인도로 돌진해 5명의 보행자를 들이받고, 흉기로 시민들을 공격했다."
